Simparams: [dsname, z, center[0], center[1], center[2], Rvir, pathname, L[0], L[1], L[2], convert]
Simparams: ['VELA_v2_01', 2.9992119434663596, 0.5126152038574219, 0.5041236877441406, 0.4491004943847656, 31.25, '/global/cscratch1/sd/cstrawn/VELA_v2_01/10MpcBox_csf512_a0.250.d', 0.0763461, -0.95166, 61.7763, 3572.132392817435]
Scanparams: [R, n_th, n_phi, n_r, r_max, num_lines, line_reached]
Scanparams: [0.052489655864102445, 12, 12, 12, 1.5, 416, 0]
Ions: [' ']
Bins: [density:low:0.0_1e-2, density:medium:1e-2_1e-1, density:selfshielding:1e-1_1e1, density:starforming:1e1_np.inf, temperature:cold:0.0_10**3.8, temperature:cool:10**3.8_10**4.5, temperature:warm-hot:10**4.5_10**6.5, temperature:hot:10**6.5_np.inf, radial_velocity:inflow:-np.inf_-10:units-km/s, radial_velocity:tangential:-10_10:units-km/s, radial_velocity:outflow:10_np.inf:units-km/s, resolution:high:0_500:field-(gas,dx):units-pc, resolution:medium:500_1200:field-(gas,dx):units-pc, resolution:low:1200_np.inf:field-(gas,dx):units-pc]
Data: [i, theta, phi, r, alpha, startx, starty, startz, endx, endy, endz,  :cdens,  :fraction,  :density:low,  :density:medium,  :density:selfshielding,  :density:starforming,  :temperature:cold,  :temperature:cool,  :temperature:warm-hot,  :temperature:hot,  :radial_velocity:inflow:units-km/s,  :radial_velocity:tangential:units-km/s,  :radial_velocity:outflow:units-km/s,  :resolution:high:field-(gas,dx):units-pc,  :resolution:medium:field-(gas,dx):units-pc,  :resolution:low:field-(gas,dx):units-pc, T, n, Z]
[ 1.20000000e+01  1.83259571e+00  2.61799388e+00  7.15768035e-03  5.01027036e-01  4.68690238e-01  5.29680076e-01  4.35961529e-01  5.47995192e-01  4.69043416e-01  4.68435760e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 1.30000000e+01  2.09439510e+00  5.75958653e+00  8.35062707e-03  1.24212929e+00  5.51949769e-01  4.81802323e-01  4.22460062e-01  4.83696093e-01  5.26390262e-01  4.88596340e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 1.40000000e+01  2.61799388e-01  2.61799388e+00  5.96473362e-03  4.99541123e+00  5.00912694e-01  5.10134477e-01  4.99914721e-01  5.12988480e-01  5.00864989e-01  3.96045053e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 1.50000000e+01  1.04719755e+00  5.23598776e-01  7.15768035e-03  4.77574439e+00  5.52015063e-01  5.26445802e-01  4.75643635e-01  4.79603364e-01  4.86715956e-01  4.10845941e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 1.60000000e+01  2.09439510e+00  1.04719755e+00  9.54357379e-03  6.02692011e+00  5.35311818e-01  5.43890727e-01  4.23437092e-01  4.73723559e-01  4.72723914e-01  4.69943296e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 1.70000000e+01  7.85398163e-01  5.23598776e-01  2.38589345e-03  5.50799963e-02  5.44804438e-01  5.22107990e-01  4.86457984e-01  4.77952122e-01  4.90202310e-01  4.12070813e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 1.80000000e+01  1.83259571e+00  0.00000000e+00  7.15768035e-03  1.14168597e+00  5.63299492e-01  5.04333426e-01  4.35454142e-01  4.66214173e-01  5.09626687e-01  4.75040481e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 1.90000000e+01  2.61799388e+00  3.14159265e+00  8.35062707e-03  2.74096476e+00  4.86314224e-01  5.04823622e-01  4.03680977e-01  5.32696266e-01  5.18577531e-01  4.96848526e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 2.00000000e+01  7.85398163e-01  0.00000000e+00  1.19294672e-02  4.32415685e+00  5.49776831e-01  5.03552343e-01  4.86165990e-01  4.92509849e-01  4.96095082e-01  3.98498791e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 2.10000000e+01  2.35619449e+00  1.57079633e+00  7.15768035e-03  2.92117500e+00  5.12569693e-01  5.41806774e-01  4.12560833e-01  5.26503524e-01  4.69290649e-01  4.87179301e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[22.          0.26179939  1.04719755  0.          1.79744802  0.51947062  0.51510664  0.49996838  0.50575978  0.49314074  0.39823261 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 2.30000000e+01  2.35619449e+00  1.57079633e+00  1.07365205e-02  1.26905596e+00  5.12569693e-01  5.41806774e-01  4.12560833e-01  5.06424597e-01  4.81952540e-01  4.98586202e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 2.40000000e+01  1.83259571e+00  4.71238898e+00  1.19294672e-02  2.82308222e+00  5.12597934e-01  4.53637844e-01  4.34735840e-01  4.90544872e-01  5.50104595e-01  4.69785582e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 2.50000000e+01  2.09439510e+00  5.23598776e-01  1.31224140e-02  2.61858119e+00  5.51950201e-01  5.27254305e-01  4.23160246e-01  4.92178219e-01  4.66283740e-01  4.84238525e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 2.60000000e+01  1.83259571e+00  3.14159265e+00  3.57884017e-03  2.28482762e+00  4.61897341e-01  5.04332461e-01  4.35579445e-01  5.61707821e-01  5.08511624e-01  4.67844884e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 2.70000000e+01  2.61799388e+00  3.14159265e+00  5.96473362e-03  3.52898550e+00  4.86314224e-01  5.04823622e-01  4.03680977e-01  5.42455069e-01  5.14440753e-01  4.91864719e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 2.80000000e+01  1.04719755e+00  5.23598776e+00  5.96473362e-03  3.92373920e+00  5.35375930e-01  4.64357081e-01  4.74707725e-01  4.84942981e-01  5.35672221e-01  4.16472647e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 2.90000000e+01  1.57079633e+00  0.00000000e+00  1.31224140e-02  1.01542706e+00  5.65104820e-01  5.04124187e-01  4.49035633e-01  4.63286867e-01  5.17212997e-01  4.71000229e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 3.00000000e+01  1.57079633e+00  1.04719755e+00  1.31224140e-02  6.25570873e+00  5.38860444e-01  5.49575920e-01  4.49768248e-01  4.65894728e-01  4.74120497e-01  4.47996454e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 3.10000000e+01  1.04719755e+00  2.09439510e+00  1.31224140e-02  2.92587725e+00  4.89919339e-01  5.43081791e-01  4.75976652e-01  5.56863189e-01  4.77493985e-01  4.28675316e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 3.20000000e+01  1.30899694e+00  4.18879020e+00  9.54357379e-03  4.08920362e-01  4.87281036e-01  4.60010947e-01  4.62039194e-01  5.53029646e-01  5.39761438e-01  4.43664341e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 3.30000000e+01  2.09439510e+00  4.18879020e+00  3.57884017e-03  5.64791742e-01  4.89853728e-01  4.65165151e-01  4.22280508e-01  5.39543668e-01  5.38180246e-01  4.79028739e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 3.40000000e+01  1.57079633e+00  1.57079633e+00  8.35062707e-03  2.29092317e-01  5.12615703e-01  5.56607117e-01  4.49908998e-01  4.96556463e-01  4.52886068e-01  4.52077119e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 3.50000000e+01  2.87979327e+00  5.23598776e-01  1.31224140e-02  1.59285449e+00  5.24317843e-01  5.11696609e-01  3.98495524e-01  5.23193963e-01  5.08707799e-01  5.03426262e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 3.60000000e+01  1.83259571e+00  5.23598776e-01  1.19294672e-02  4.76115190e-01  5.56507077e-01  5.29680911e-01  4.35853013e-01  4.62970261e-01  4.98964196e-01  4.72294794e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 3.70000000e+01  1.57079633e+00  1.57079633e+00  4.77178690e-03  4.89927000e+00  5.12615703e-01  5.56607117e-01  4.49908998e-01  5.10837302e-01  4.52215167e-01  4.38963034e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 3.80000000e+01  1.04719755e+00  1.57079633e+00  1.19294672e-02  2.91281409e+00  5.12648067e-01  5.49171419e-01  4.76042373e-01  5.35249004e-01  4.58608334e-01  4.27998837e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 3.90000000e+01  5.23598776e-01  2.61799388e+00  1.07365205e-02  4.12053753e+00  4.89942830e-01  5.16544144e-01  4.94782654e-01  5.27131142e-01  5.10063807e-01  3.96825058e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 4.00000000e+01  7.85398163e-01  3.66519143e+00  2.38589345e-03  5.98098581e+00  4.80517697e-01  4.84995989e-01  4.85965725e-01  5.46051854e-01  5.18785175e-01  4.11238079e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 4.10000000e+01  1.83259571e+00  4.71238898e+00  7.15768035e-03  5.25426203e+00  5.12597934e-01  4.53637844e-01  4.34735840e-01  5.19933003e-01  5.57009341e-01  4.51504451e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 4.20000000e+01  7.85398163e-01  2.61799388e+00  1.19294672e-02  3.79698877e+00  4.80518051e-01  5.22107378e-01  4.86537423e-01  5.43643103e-01  5.08173634e-01  4.03822645e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 4.30000000e+01  1.57079633e+00  4.71238898e+00  1.07365205e-02  2.42156892e+00  5.12614704e-01  4.51640259e-01  4.48291991e-01  4.96817084e-01  5.54264032e-01  4.63766237e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 4.40000000e+01  5.23598776e-01  5.75958653e+00  5.96473362e-03  2.90264660e+00  5.35399921e-01  4.90302862e-01  4.94322231e-01  4.82261296e-01  5.08988380e-01  4.05734456e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 4.50000000e+01  2.35619449e+00  0.00000000e+00  7.15768035e-03  5.98208870e-01  5.49685103e-01  5.04695739e-01  4.11943270e-01  4.81880581e-01  5.15194751e-01  4.91397493e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 4.60000000e+01  0.00000000e+00  1.57079633e+00  1.07365205e-02  2.21478874e-01  5.12680065e-01  5.03315184e-01  5.01583883e-01  4.92029355e-01  5.00278389e-01  3.98700542e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
