Simparams: [dsname, z, center[0], center[1], center[2], Rvir, pathname, L[0], L[1], L[2], convert]
Simparams: ['VELA_v2_01', 2.9992119434663596, 0.5126152038574219, 0.5041236877441406, 0.4491004943847656, 31.25, '/global/cscratch1/sd/cstrawn/VELA_v2_01/10MpcBox_csf512_a0.250.d', 0.0763461, -0.95166, 61.7763, 3572.132392817435]
Scanparams: [R, n_th, n_phi, n_r, r_max, num_lines, line_reached]
Scanparams: [0.052489655864102445, 12, 12, 12, 1.5, 416, 0]
Ions: [' ']
Bins: [density:low:0.0_1e-2, density:medium:1e-2_1e-1, density:selfshielding:1e-1_1e1, density:starforming:1e1_np.inf, temperature:cold:0.0_10**3.8, temperature:cool:10**3.8_10**4.5, temperature:warm-hot:10**4.5_10**6.5, temperature:hot:10**6.5_np.inf, radial_velocity:inflow:-np.inf_-10:units-km/s, radial_velocity:tangential:-10_10:units-km/s, radial_velocity:outflow:10_np.inf:units-km/s, resolution:high:0_500:field-(gas,dx):units-pc, resolution:medium:500_1200:field-(gas,dx):units-pc, resolution:low:1200_np.inf:field-(gas,dx):units-pc]
Data: [i, theta, phi, r, alpha, startx, starty, startz, endx, endy, endz,  :cdens,  :fraction,  :density:low,  :density:medium,  :density:selfshielding,  :density:starforming,  :temperature:cold,  :temperature:cool,  :temperature:warm-hot,  :temperature:hot,  :radial_velocity:inflow:units-km/s,  :radial_velocity:tangential:units-km/s,  :radial_velocity:outflow:units-km/s,  :resolution:high:field-(gas,dx):units-pc,  :resolution:medium:field-(gas,dx):units-pc,  :resolution:low:field-(gas,dx):units-pc, T, n, Z]
[ 0.          0.78539816  3.66519143  0.01192947  3.06549327  0.4805177  0.48499599  0.48596572  0.53260213  0.54299394  0.41565139 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 1.          2.0943951   0.          0.01073652  3.37431905  0.55804011  0.50452837  0.42280263  0.46660186  0.48333223  0.46981778 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 2.          1.57079633  0.          0.01073652  5.37349318  0.56510482  0.50412419  0.44903563  0.4622347   0.51729421  0.43275849 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 3.          1.04719755  2.61799388  0.00715768  3.48676689  0.47328064  0.52644505  0.47574093  0.55581893  0.49503332  0.41898364 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 4.          1.83259571  4.1887902   0.          0.92685606  0.48724746  0.46042946  0.43487179  0.53798295  0.54781792  0.4633292  -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 5.          1.57079633  3.14159265  0.00596473  5.33750348  0.46012559  0.50412319  0.44916536  0.56442156  0.49733669  0.43931907 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 6.00000000e+00  1.83259571e+00  2.61799388e+00  3.57884017e-03  1.44050819e+00  4.68690238e-01  5.29680076e-01  4.35961529e-01  5.54294183e-01  4.78693134e-01  4.69021360e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 7.          0.78539816  5.75958653  0.00715768  1.25315653  0.54480409  0.4849966   0.48588629  0.47499211  0.53135266  0.42265607 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 8.          1.04719755  2.61799388  0.00835063  6.05630322  0.47328064  0.52644505  0.47574093  0.54132653  0.46941724  0.41972093 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 9.          1.83259571  0.52359878  0.          5.6954392   0.55650708  0.52968091  0.43585301  0.46872333  0.47856646  0.46234798 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 1.00000000e+01  2.09439510e+00  4.71238898e+00  9.54357379e-03  3.76800756e+00  5.12582340e-01  4.59075957e-01  4.22158616e-01  4.97421556e-01  5.53368849e-01  4.65743671e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 1.10000000e+01  2.09439510e+00  5.75958653e+00  9.54357379e-03  4.90310200e-01  5.51949769e-01  4.81802323e-01  4.22460062e-01  4.86671758e-01  5.37742178e-01  4.82710952e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
