Simparams: [dsname, z, center[0], center[1], center[2], Rvir, pathname, L[0], L[1], L[2], convert]
Simparams: ['VELA_v2_01', 0.9991637390184145, 0.5003337860107422, 0.4987010955810547, 0.49488258361816406, 123.75, '/global/cscratch1/sd/cstrawn/VELA_v2_01/10MpcBox_csf512_a0.500.d', -0.766601, -0.634805, 818.318, 7145.845160243258]
Scanparams: [R, n_th, n_phi, n_r, r_max, num_lines, line_reached]
Scanparams: [0.10390653356596435, 12, 12, 12, 1.5, 416, 0]
Ions: [' ']
Bins: [density:low:0.0_1e-2, density:medium:1e-2_1e-1, density:selfshielding:1e-1_1e1, density:starforming:1e1_np.inf, temperature:cold:0.0_10**3.8, temperature:cool:10**3.8_10**4.5, temperature:warm-hot:10**4.5_10**6.5, temperature:hot:10**6.5_np.inf, radial_velocity:inflow:-np.inf_-10:units-km/s, radial_velocity:tangential:-10_10:units-km/s, radial_velocity:outflow:10_np.inf:units-km/s, resolution:high:0_500:field-(gas,dx):units-pc, resolution:medium:500_1200:field-(gas,dx):units-pc, resolution:low:1200_np.inf:field-(gas,dx):units-pc]
Data: [i, theta, phi, r, alpha, startx, starty, startz, endx, endy, endz,  :cdens,  :fraction,  :density:low,  :density:medium,  :density:selfshielding,  :density:starforming,  :temperature:cold,  :temperature:cool,  :temperature:warm-hot,  :temperature:hot,  :radial_velocity:inflow:units-km/s,  :radial_velocity:tangential:units-km/s,  :radial_velocity:outflow:units-km/s,  :resolution:high:field-(gas,dx):units-pc,  :resolution:medium:field-(gas,dx):units-pc,  :resolution:low:field-(gas,dx):units-pc, T, n, Z]
[ 1.30000000e+01  1.83259571e+00  4.71238898e+00  7.08453638e-03  2.82389415e-01  5.00359016e-01  3.98355984e-01  4.67911755e-01  5.13881452e-01  5.97558881e-01  5.25545254e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[14.          2.0943951   5.75958653  0.02125361  5.48398635  0.57831234  0.45374853  0.44296746  0.42713629  0.57446058  0.51886658 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 1.50000000e+01  2.09439510e+00  3.14159265e+00  7.08453638e-03  1.07538111e+00  4.10396798e-01  4.98741431e-01  4.42845057e-01  5.83625711e-01  4.91932265e-01  5.57438467e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[16.          1.83259571  3.14159265  0.02361512  5.08622305  0.39999302  0.49872199  0.46789559  0.60681981  0.48189438  0.47911083 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[17.          0.26179939  0.52359878  0.0188921   2.76270024  0.52352976  0.51206972  0.59528076  0.48364923  0.44920907  0.40125924 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 1.80000000e+01  1.30899694e+00  5.23598776e+00  1.65305849e-02  6.21161962e+00  5.50491604e-01  4.11760732e-01  5.21755138e-01  4.79929915e-01  5.99243839e-01  4.66461345e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[19.          1.04719755  0.          0.02597663  2.94998125  0.59027077  0.49866076  0.54692011  0.41096031  0.44925294  0.45422224 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[20.          2.0943951   2.61799388  0.02361512  5.01223784  0.42245257  0.54373426  0.44289125  0.58662836  0.43315578  0.50617618 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 2.10000000e+01  1.04719755e+00  1.04719755e+00  1.18075606e-02  1.54816614e+00  5.45277917e-01  5.76590654e-01  5.46938415e-01  4.49621100e-01  4.11899772e-01  4.63794217e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[ 2.20000000e+01  2.61799388e+00  4.18879020e+00  1.41690728e-02  3.52458900e+00  4.74441479e-01  4.53778075e-01  4.04837715e-01  5.07744951e-01  5.63695980e-01  5.78028949e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
[23.          1.83259571  0.          0.02597663  2.45309219  0.60072494  0.49872192  0.46808364  0.41419706  0.45973706  0.55099204 -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1. -1.         -1.         -1.         -1.         -1.         -1.        ]
[ 2.40000000e+01  5.23598776e-01  3.66519143e+00  1.65305849e-02  4.36075226e+00  4.55256668e-01  4.72654681e-01  5.84805914e-01  5.15693083e-01  5.20578748e-01  3.91837019e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00]
